# 
#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f             devi_e            min_dis
           0       1.568631e+00       2.735641e-03       8.594897e-01       1.746067e+00       4.736718e-01       1.308527e+00       6.594918e-01       7.084959e-01
           1       5.622755e-01       1.299058e-08       2.428384e-01       5.451271e+00       2.191534e-01       1.428606e+00       1.147051e-01       6.742516e-01
           2       6.319230e-01       9.861151e-09       2.740650e-01       4.876454e+00       2.381337e-01       1.354460e+00       9.793638e-02       7.102925e-01
           3       1.567747e+00       2.879821e-03       8.590824e-01       1.741486e+00       4.824435e-01       1.308684e+00       6.596147e-01       7.089444e-01
           4       1.569022e+00       2.708966e-03       8.596704e-01       1.742401e+00       4.691378e-01       1.307832e+00       6.595435e-01       7.092398e-01
           5       1.474262e+00       2.448200e-07       8.501006e-01       7.116160e-14       7.116159e-14       7.116160e-14       6.764969e-01       2.415389e+00
           6       4.281302e+00       7.008456e-02       2.217118e+00       2.039847e+00       2.039847e+00       2.039847e+00       5.933409e-01       2.273024e+00
           7       2.103628e+00       8.233383e-04       1.206400e+00       4.064942e-01       4.064942e-01       4.064942e-01       7.525338e-01       2.254629e+00
           8       5.160052e+00       4.588986e-09       2.922566e+00       3.483996e-15       3.443278e-15       3.463637e-15       5.175082e-01       2.837614e+00
           9       4.159523e+00       7.697910e-08       2.193659e+00       2.851213e-01       2.851213e-01       2.851213e-01       6.620620e-02       2.605812e+00
          10       5.845285e+00       7.729059e-08       2.697925e+00       8.043840e-15       8.027167e-15       8.035503e-15       1.071059e-01       2.573352e+00
          11       1.534456e+00       3.290945e-07       8.831597e-01       2.917833e-14       2.917523e-14       2.917678e-14       6.758720e-01       2.429091e+00
          12       1.379473e+00       4.653378e-05       7.932035e-01       5.408682e-02       5.408682e-02       5.408682e-02       6.680234e-01       2.653915e+00
          13       1.416436e+00       8.495143e-03       8.122217e-01       2.666772e-02       2.666772e-02       2.666772e-02       6.748741e-01       2.633962e+00
          14       1.532067e+00       4.707217e-09       8.537801e-01       1.809933e-14       1.807154e-14       1.808544e-14       6.582083e-01       2.761012e+00
          15       1.377675e+00       8.780536e-05       7.931072e-01       5.379209e-02       5.379209e-02       5.379209e-02       6.680732e-01       2.653856e+00
          16       1.377805e+00       6.942378e-04       7.933687e-01       5.674242e-02       5.674242e-02       5.674242e-02       6.676045e-01       2.652958e+00
          17       1.525227e+00       8.090078e-11       8.529791e-01       2.237833e-15       2.043710e-15       2.140771e-15       6.571679e-01       2.755223e+00
          18       1.642717e+00       6.899314e-06       9.484167e-01       4.131091e-14       4.116593e-14       4.123842e-14       6.745631e-01       2.440033e+00
          19       5.597490e+00       1.903236e-07       2.681657e+00       9.558155e-15       9.197230e-15       9.377692e-15       6.596607e-01       2.422919e+00
          20       5.626944e+00       1.546583e-08       3.077656e+00       4.132173e-15       3.847671e-15       3.989922e-15       5.683371e-01       2.459228e+00
          21       2.290846e+00       1.427384e-08       1.101838e+00       1.059269e-03       1.059269e-03       1.059269e-03       6.883912e-01       2.529157e+00
          22       1.367368e+00       1.307916e-08       7.894501e-01       5.860949e-15       5.857168e-15       5.859058e-15       6.751594e-01       2.639635e+00
          23       2.668684e+00       1.315191e-07       1.519445e+00       1.555829e-15       1.555267e-15       1.555548e-15       2.954070e-01       2.384589e+00
          24       3.027195e+00       8.071025e-08       1.211209e+00       8.277038e-15       8.275970e-15       8.276504e-15       2.993844e-01       2.149014e+00
          25       2.668684e+00       1.315191e-07       1.519445e+00       1.555829e-15       1.555267e-15       1.555548e-15       2.954070e-01       2.384589e+00
          26       1.356656e+00       9.079944e-09       7.767210e-01       3.663137e-15       3.350535e-15       3.506836e-15       6.777392e-01       2.439380e+00
          27       1.356656e+00       9.079944e-09       7.767210e-01       3.663137e-15       3.350535e-15       3.506836e-15       6.777392e-01       2.439380e+00
          28       1.616882e+00       1.137902e-08       9.244843e-01       1.864169e-03       1.864169e-03       1.864169e-03       6.498697e-01       2.673739e+00
          29       1.021701e+01       4.811698e-08       5.898792e+00       6.368746e-15       6.285331e-15       6.327039e-15       1.011834e+00       2.440860e+00
          30       1.616882e+00       1.137902e-08       9.244843e-01       1.864169e-03       1.864169e-03       1.864169e-03       6.498697e-01       2.673739e+00
          31       1.021701e+01       4.811698e-08       5.898792e+00       6.368746e-15       6.285331e-15       6.327039e-15       1.011834e+00       2.440860e+00
          32       1.643771e+00       5.153129e-07       9.489032e-01       3.881015e-15       3.880218e-15       3.880616e-15       6.745540e-01       2.439948e+00
          33       1.839101e+00       9.054040e-11       8.499585e-01       2.868300e-14       2.867077e-14       2.867688e-14       6.605097e-01       2.447935e+00
          34       1.839101e+00       9.054045e-11       8.499585e-01       2.868300e-14       2.867077e-14       2.867688e-14       6.605097e-01       2.447935e+00
          35       3.341274e+00       8.459513e-08       1.853293e+00       4.980091e-15       4.979502e-15       4.979797e-15       2.404963e-01       2.462269e+00
          36       3.162774e+00       4.634166e-08       1.372814e+00       1.674860e-14       1.668119e-14       1.671489e-14       2.351089e-01       2.552032e+00
          37       3.352371e+00       1.608309e-08       1.935492e+00       3.401586e-15       3.314981e-15       3.358283e-15       6.271301e-01       2.611437e+00
          38       1.871169e+00       6.638481e-09       1.022000e+00       2.519579e-04       2.519579e-04       2.519579e-04       7.291828e-01       2.464492e+00
          39       5.714680e+00       8.213644e-09       2.883787e+00       1.017872e-14       1.017720e-14       1.017796e-14       5.799644e-01       2.385296e+00
          40       1.643771e+00       5.153129e-07       9.489032e-01       3.881015e-15       3.880218e-15       3.880616e-15       6.745540e-01       2.439948e+00
          41       1.839117e+00       2.863241e-08       8.499689e-01       4.080481e-15       3.964940e-15       4.022710e-15       6.605095e-01       2.592711e+00
          42       1.637751e+00       5.232844e-10       9.451425e-01       2.731317e-15       2.724444e-15       2.727881e-15       6.746295e-01       2.439656e+00
          43       1.760598e+00       2.338921e-08       8.012424e-01       3.772574e-15       3.668744e-15       3.720659e-15       6.622044e-01       2.579909e+00
          44       1.379281e+00       1.080726e-03       7.936079e-01       6.207402e-02       6.207402e-02       6.207402e-02       6.685531e-01       2.649783e+00
          45       3.589067e+00       7.801802e-08       2.014189e+00       2.628108e-04       2.628108e-04       2.628108e-04       6.475844e-02       2.570842e+00
          46       1.372020e+00       4.862555e-09       7.921362e-01       6.277402e-16       5.934985e-16       6.106193e-16       6.751637e-01       2.639889e+00
          47       1.612737e+00       1.544619e-06       8.932969e-01       4.302096e-14       4.281508e-14       4.291802e-14       6.777054e-01       2.405985e+00
          48       1.839101e+00       9.054040e-11       8.499585e-01       2.868300e-14       2.867077e-14       2.867688e-14       6.605097e-01       2.447935e+00
          49       6.210041e+00       1.820399e-07       3.556515e+00       3.326354e-15       3.014841e-15       3.170598e-15       4.992399e-01       2.369428e+00
          50       1.642719e+00       4.150491e-07       9.480715e-01       9.916053e-15       9.912445e-15       9.914249e-15       6.745712e-01       2.438940e+00
          51       1.642719e+00       4.150491e-07       9.480715e-01       9.916053e-15       9.912445e-15       9.914249e-15       6.745712e-01       2.438940e+00
          52       1.406726e+00       2.465322e-03       8.033900e-01       9.889987e-02       9.889987e-02       9.889987e-02       6.633402e-01       2.632346e+00
          53       1.377052e+00       4.573472e-04       7.936266e-01       2.675494e-03       2.675494e-03       2.675494e-03       6.750598e-01       2.636571e+00
          54       1.372088e+00       9.412992e-06       7.920326e-01       1.604790e-03       1.604790e-03       1.604790e-03       6.751638e-01       2.639155e+00
          55       1.408382e+00       8.096837e-03       8.051763e-01       8.263027e-02       8.263027e-02       8.263027e-02       6.642019e-01       2.649535e+00
          56       2.483932e+00       3.111641e-08       1.311219e+00       3.129651e-15       3.066528e-15       3.098090e-15       6.582031e-01       2.811853e+00
          57       6.153537e+00       2.181396e-06       3.500713e+00       2.259916e-14       2.257776e-14       2.258846e-14       9.003948e-02       2.502103e+00
          58       2.321054e+00       1.641591e-07       1.155883e+00       5.962766e-15       5.864633e-15       5.913700e-15       8.035335e-02       2.228362e+00
          59       2.290020e+00       7.815657e-09       1.111669e+00       1.760457e-14       1.750349e-14       1.755403e-14       1.191241e-01       2.289910e+00
          60       1.052463e+01       4.359509e-04       5.936606e+00       6.991199e-01       6.991199e-01       6.991199e-01       5.753412e-01       2.022456e+00
          61       1.937195e+00       7.327811e-02       1.063118e+00       2.132149e-01       2.132149e-01       2.132149e-01       6.667649e-01       2.449724e+00
          62       2.615340e+00       1.391773e-07       1.376821e+00       1.998474e-01       1.998474e-01       1.998474e-01       2.374860e-01       2.437242e+00
          63       1.050293e+01       4.894209e-08       6.013748e+00       4.654639e-15       4.513576e-15       4.584108e-15       1.057436e+00       2.533283e+00
          64       3.330087e+00       7.032126e-08       1.867601e+00       6.260621e-15       6.259972e-15       6.260296e-15       1.396309e-01       2.373111e+00
          65       2.232473e+00       3.597014e-08       1.212006e+00       5.993819e-01       2.818390e-01       3.460895e-01       4.337698e-01       1.041827e+00
          66       8.067196e+00       3.442601e-06       4.053110e+00       2.743364e+00       1.405368e-01       7.722910e-01       1.980242e+00       1.337463e+00
          67       8.207503e+00       2.211332e-07       4.130153e+00       2.406747e+00       1.870890e-02       5.646097e-01       1.992282e+00       1.409158e+00
          68       7.150934e+00       1.120014e-06       3.145721e+00       2.447608e+00       1.336472e-01       7.868860e-01       1.875719e+00       1.384409e+00
          69       2.211749e+00       7.529099e-08       1.096165e+00       8.424973e-01       2.440164e-01       3.823020e-01       9.533312e-01       1.282287e+00
          70       2.763446e+00       1.432642e-02       1.350719e+00       9.404260e+00       3.891905e-01       1.941137e+00       9.339172e-01       7.157373e-01
          71       2.792035e+00       1.522677e-02       1.365853e+00       9.501406e+00       4.548025e-01       1.934648e+00       9.375402e-01       7.226791e-01
          72       3.143665e-01       7.934856e-09       1.632656e-01       1.815629e+00       1.408576e-01       1.045099e+00       3.650571e-01       8.076666e-01
          73       3.005617e-01       8.471107e-09       1.472781e-01       1.848218e+00       1.405459e-01       1.009371e+00       3.683726e-01       8.206373e-01
          74       2.803952e+00       1.248243e-02       1.375223e+00       9.412245e+00       4.711842e-01       1.931768e+00       9.385921e-01       7.139818e-01
          75       4.108580e+00       3.313865e-02       2.266487e+00       7.262620e+00       3.030910e-01       1.313006e+00       1.329253e+00       4.749811e-01
          76       3.601536e-01       2.534725e-08       1.762145e-01       2.747824e+00       4.000150e-05       8.023560e-01       3.133494e-01       6.482303e-01
          77       4.107123e+00       3.308242e-02       2.265741e+00       7.271387e+00       3.004113e-01       1.313664e+00       1.328853e+00       4.750037e-01
          78       4.107794e+00       3.272217e-02       2.266404e+00       7.259518e+00       2.932090e-01       1.313263e+00       1.329073e+00       4.749232e-01
          79       3.738875e-01       1.581910e-08       1.775187e-01       1.703008e+00       3.421126e-05       7.236130e-01       2.947062e-01       9.391687e-01
          80       6.543506e+00       6.671973e-01       3.779466e+00       2.225405e+01       2.169180e+00       6.829828e+00       3.650673e+00       8.654222e-01
          81       6.135120e-01       6.256214e-08       2.514344e-01       1.037545e+00       3.654959e-04       4.167758e-01       4.701533e-01       1.736045e+00
          82       6.545063e+00       6.669497e-01       3.779719e+00       2.225594e+01       2.171445e+00       6.830049e+00       3.650627e+00       8.652778e-01
          83       6.545399e+00       6.685865e-01       3.780711e+00       2.223937e+01       2.180383e+00       6.830005e+00       3.650372e+00       8.642718e-01
          84       8.068972e-01       8.734308e-08       3.042080e-01       8.731604e-01       1.476312e-04       3.867457e-01       5.293649e-01       1.768594e+00
          85       1.221668e-01       1.729538e-08       6.872559e-02       3.368616e-01       2.309158e-01       2.662311e-01       2.672096e-02       1.414449e+00
          86       2.868188e-01       1.527980e-01       2.086692e-01       1.741602e+01       3.333048e-01       3.345801e+00       1.407760e-01       3.826544e-01
          87       2.530263e-01       1.276786e-01       1.872961e-01       1.511529e+01       2.976829e-01       2.866886e+00       1.333577e-01       3.934841e-01
          88       2.696909e-01       1.324171e-01       1.990811e-01       1.706871e+01       3.079277e-01       3.203471e+00       1.392761e-01       3.829791e-01
          89       7.058895e-01       2.320421e-08       3.790880e-01       6.281179e-01       4.271087e-01       4.941117e-01       1.325892e-02       1.265083e+00
          90       6.387815e-01       1.226712e-08       3.548029e-01       5.669999e+00       5.591655e-15       1.418066e+00       4.923783e-01       6.910945e-01
          91       5.927774e+00       2.798928e-02       2.903197e+00       1.469354e+01       2.047621e-01       3.291630e+00       1.280183e+00       7.222023e-01
          92       5.909486e+00       4.123978e-02       2.898730e+00       1.490202e+01       2.175786e-01       3.290516e+00       1.278981e+00       7.247590e-01
          93       6.029968e-01       1.629917e-08       3.386617e-01       5.759959e+00       2.015595e-15       1.648804e+00       5.487985e-01       7.371483e-01
          94       5.928354e+00       2.366777e-02       2.901685e+00       1.482358e+01       2.507895e-01       3.300314e+00       1.279381e+00       7.184454e-01
          95       1.470599e+00       2.730547e-05       8.490505e-01       1.066242e+00       1.254449e-08       9.841646e-01       1.416636e-01       8.924131e-01
          96       6.676528e-01       1.840837e-08       3.854695e-01       1.582502e+00       1.291641e-14       1.460771e+00       5.128542e-01       9.315798e-01
          97       1.470604e+00       2.597778e-05       8.490535e-01       1.066241e+00       1.190473e-08       9.841660e-01       1.416632e-01       8.924159e-01
          98       1.806024e+00       7.241511e-07       1.042709e+00       1.025554e+00       6.721474e-10       9.466649e-01       2.030246e-01       8.764104e-01
          99       9.894404e-01       4.387171e-08       5.712537e-01       3.984831e+00       3.159285e-15       3.678306e+00       4.808621e-01       8.811537e-01
         100       1.304388e+01       1.876791e-07       7.381245e+00       8.140785e-01       1.443152e-14       6.512628e-01       3.215367e+00       2.113305e+00
         101       1.255215e+01       6.326052e-08       6.643083e+00       2.172666e+00       7.807573e-14       8.690663e-01       3.198227e+00       2.135427e+00
         102       1.245338e+01       4.468965e-08       6.612345e+00       2.005458e+00       3.802206e-14       8.021831e-01       3.205169e+00       2.109162e+00
         103       2.360838e+00       1.037406e-07       1.004498e+00       1.387216e+00       6.136463e-15       1.109773e+00       2.896978e+00       1.961287e+00
         104       9.972032e+00       1.192404e-07       5.677773e+00       1.239497e+00       5.559687e-14       4.957990e-01       3.354582e+00       2.141899e+00
         105       1.335946e+01       1.818626e-07       7.261025e+00       7.635889e-01       1.440165e-14       6.108712e-01       3.108357e+00       1.904710e+00
         106       1.667646e+00       8.077366e-08       7.364900e-01       1.915147e+00       5.020288e-15       7.660589e-01       2.967371e+00       2.701224e+00
         107       1.340431e+01       4.767273e-07       7.550776e+00       1.061682e+00       8.357453e-14       8.493456e-01       3.241615e+00       2.106532e+00
         108       1.332835e+01       5.882204e-07       7.511794e+00       1.098505e+00       8.228823e-14       8.788043e-01       3.244590e+00       2.109100e+00
         109       1.390226e+01       1.096740e-07       7.591267e+00       3.172475e+00       3.601313e-13       1.268990e+00       3.107497e+00       2.103191e+00
         110       1.114725e+00       1.283962e-08       6.189312e-01       3.872599e-01       1.254736e-14       1.984831e-01       5.573219e-02       9.393115e-01
         111       2.075474e+00       7.198910e-02       1.166404e+00       1.360187e+00       5.161863e-02       3.852054e-01       1.008712e+00       7.209237e-01
         112       2.076103e+00       7.221324e-02       1.166858e+00       1.358195e+00       5.500420e-02       3.833687e-01       1.008637e+00       7.198715e-01
