Number,formula,enthalpy
112,B2H12,0.68087129
113,B3H18,0.1082093
115,B2H15,0.15671045
116,B5H14,0.21228444
118,B5H14,0.14998496
119,B4H16,0.42093559
120,B2H19,0.12321073
121,B3H9,0.13069733
122,B4H4,0.19403005
123,B3H20,0.5265147
124,B6H15,0.9149352
125,B2H18,0.09650184
126,B1H8,0.11210859
127,B2H8,0.62337451
128,B5H5,1.23680427
129,B2H20,0.13508352
130,B5H6,0.27993897
131,B6H17,0.10684104
132,B2H14,0.31756331
133,B3H12,0.38688291
134,B2H12,0.22295749
135,B2H11,0.67740871
136,B1H19,0.21203499
137,B5H18,0.54498989
138,B2H14,0.25282965
139,B3H12,0.38031338
140,B4H5,0.3843401
141,B4H2,0.66065621
142,B4H9,0.49017001
143,B4H7,2.64927868
144,B1H4,0.35410175
146,B4H16,0.32610371
147,B3H10,1.19998888
148,B5H7,0.15020669
149,B5H10,0.13254185
150,B3H13,0.85274971
151,B5H8,0.27762833
152,B2H8,0.14313063
154,B1H19,0.14754105
155,B2H6,0.27139452
156,B5H10,0.40575656
157,B2H2,0.50443401
158,B2H2,0.76348277
160,B1H5,0.49365547
161,B6H5,0.40268461
162,B2H8,0.44044089
163,B1H7,1.07142358
164,B2H5,0.15406843
165,B4H9,0.34402015
166,B6H18,0.6244912
167,B5H20,0.43761719
168,B4H13,0.19179801
169,B6H13,0.82022233
170,B3H2,0.39042245
171,B2H13,0.15719411
172,B3H9,0.14848481
173,B2H16,0.19083723
174,B6H3,1.8905388
175,B2H2,0.20735666
176,B4H11,0.48355564
178,B5H2,3.73308575
179,B4H11,0.31810021
180,B5H9,1.66177704
181,B4H11,0.13129129
182,B5H1,0.66596042
184,B3H7,0.39381593
185,B2H11,0.12890747
186,B1H14,0.36866325
187,B4H3,0.58747023
188,B6H4,0.34752422
190,B5H10,0.33066444
191,B4H9,0.17442938
192,B5H15,0.45935982
193,B5H17,0.26786323
194,B3H4,0.1940934
195,B4H6,0.12390052
197,B6H15,0.11249114
198,B4H13,0.25771219
199,B4H17,0.35257021
200,B4H15,0.1903542
201,B3H6,0.31296856
202,B4H17,0.21744511
203,B6H9,0.38935558
204,B3H6,0.37293071
205,B1H8,0.13539271
206,B3H9,0.12892436
207,B2H12,0.27494215
208,B3H16,0.29630931
209,B2H7,0.1481658
210,B4H3,1.49341086
211,B6H13,0.31963773
212,B2H7,0.2747546
213,B1H16,0.12217379
214,B3H10,0.19944113
215,B3H7,0.96165002
216,B6H14,0.1587764
217,B6H17,0.17970834
218,B6H3,0.23497848
219,B5H8,0.57516675
220,B2H18,0.18378146
221,B3H17,0.57318845
222,B4H14,0.61204509
223,B5H11,0.26272356
224,B3H9,0.6957473
225,B3H5,0.78419528
226,B2H3,0.41694964
227,B4H3,0.20060846
228,B2H9,0.15199325
229,B3H20,0.15613191
231,B2H17,0.22292477
232,B5H9,1.66109899
233,B5H5,0.20136441
234,B3H14,0.22933472
235,B3H15,0.42475031
236,B6H18,0.12207834
237,B5H14,0.55338826
238,B2H17,0.13858369
239,B2H4,0.10400791
240,B4H10,0.84092916
242,B2H19,0.0852348
243,B6H7,0.24401109
244,B2H11,0.20841115
