natom=10          
T          -TS (eV/atom)
0            0.00000000
100         -0.00059731
200         -0.00119462
300         -0.00179192
400         -0.00238923
500         -0.00298654
600         -0.00358385
700         -0.00418116
800         -0.00477846
900         -0.00537577
1000        -0.00597308
1100        -0.00657039
1200        -0.00716770
1300        -0.00776500
1400        -0.00836231
1500        -0.00895962
1600        -0.00955693
1700        -0.01015424
1800        -0.01075154
1900        -0.01134885
2000        -0.01194616
2100        -0.01254347
2200        -0.01314078
2300        -0.01373808
2400        -0.01433539
2500        -0.01493270
2600        -0.01553001
2700        -0.01612732
2800        -0.01672462
2900        -0.01732193
3000        -0.01791924
