# 
#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f             devi_e            min_dis
          46       5.185999e+00       4.771439e-03       2.863894e+00       4.797368e+00       2.371498e-01       1.835638e+00       6.290233e-01       1.144586e+00
          47       1.173168e+00       3.154316e-08       6.773290e-01       1.845487e+00       4.539317e-08       1.036853e+00       1.614001e-01       8.106943e-01
          48       1.853691e+00       8.473977e-08       1.070229e+00       1.491739e+00       2.290074e-07       8.441260e-01       2.060817e-01       8.082122e-01
          49       5.183506e+00       5.653553e-03       2.862808e+00       4.806001e+00       2.363697e-01       1.836046e+00       6.301090e-01       1.126851e+00
          50       3.993184e+00       1.146967e-02       2.202564e+00       1.134831e+01       2.491962e-01       2.121586e+00       6.397953e-01       7.665730e-01
          51       1.054709e+00       4.924408e-02       5.128049e-01       1.408699e+00       2.193221e-15       6.147075e-01       2.176532e-01       5.704163e-01
          52       1.295519e+00       4.279488e-02       6.215941e-01       1.405620e+00       4.421698e-15       6.400276e-01       2.194690e-01       5.535815e-01
          53       3.980311e+00       1.236094e-02       2.194676e+00       1.117869e+01       2.425425e-01       2.100712e+00       6.381727e-01       7.657668e-01
          54       3.978019e+00       1.239858e-02       2.193431e+00       1.116891e+01       2.430203e-01       2.100660e+00       6.382214e-01       7.656821e-01
          55       4.782237e+00       1.165265e-01       2.683019e+00       6.999605e+00       3.210468e-01       2.521234e+00       7.521198e-01       1.114077e+00
          56       4.781462e+00       1.177134e-01       2.682551e+00       6.997823e+00       3.248440e-01       2.524275e+00       7.520234e-01       1.113468e+00
          57       4.781941e+00       1.160960e-01       2.682580e+00       7.001801e+00       3.149165e-01       2.521674e+00       7.521802e-01       1.113708e+00
          58       1.068927e+00       1.259323e-08       4.996038e-01       3.576846e+00       2.912919e-02       9.478238e-01       2.934416e-01       7.383619e-01
          59       1.590628e+00       4.716987e-09       7.203540e-01       3.793629e+00       3.906120e-02       1.076104e+00       3.697188e-01       7.184688e-01
          60       1.694373e+01       1.836517e-01       9.655612e+00       5.291140e-01       2.171034e-02       3.495631e-01       2.073872e+00       1.468619e+00
          61       1.695182e+01       1.842250e-01       9.659784e+00       5.250364e-01       2.351076e-02       3.492756e-01       2.074067e+00       1.469188e+00
          62       7.522702e-01       4.686288e-08       4.096156e-01       3.250726e+00       1.466836e-08       1.268062e+00       8.239688e-01       6.152153e-01
          63       1.694734e+01       1.832900e-01       9.656956e+00       5.264619e-01       1.974051e-02       3.488072e-01       2.073779e+00       1.471986e+00
          64       1.249474e+00       5.615748e-08       6.473844e-01       2.001429e+01       1.514634e-08       3.693497e+00       7.679219e-01       4.549697e-01
          65       2.601945e+00       2.423401e-02       1.490007e+00       8.739236e-01       6.288647e-02       4.249549e-01       5.583624e-02       8.717562e-01
          66       2.873876e+00       2.734989e-02       1.646091e+00       7.010255e-01       1.088558e-01       3.862804e-01       4.639852e-02       9.059998e-01
          67       3.056830e+00       1.568187e-02       1.749988e+00       2.470200e-01       2.457782e-15       1.071504e-01       4.968132e-02       1.152003e+00
          68       2.109678e+00       2.064985e-02       1.209055e+00       9.820268e-01       4.637123e-02       4.502844e-01       6.428623e-02       8.536508e-01
          69       1.646550e+00       1.374724e-02       9.397077e-01       1.829899e-01       2.211690e-15       8.201658e-02       1.744343e-02       1.173123e+00
          70       5.477045e+00       3.645661e-07       3.162173e+00       1.032660e-13       2.387406e-14       5.512431e-14       9.763632e-01       2.011176e+00
          71       9.172004e+00       1.493362e-07       5.295459e+00       6.002203e-14       2.651228e-14       3.702318e-14       1.204932e+00       1.967355e+00
          72       3.267454e+00       3.766637e-01       1.256877e+00       7.150046e+00       7.292174e-02       2.921936e+00       3.910870e+00       1.643239e+00
          73       3.165741e+00       4.256023e-01       1.235778e+00       7.136003e+00       7.409527e-02       2.917705e+00       3.908104e+00       1.649810e+00
          74       8.934863e+00       1.474235e-07       5.158546e+00       4.349985e-14       2.153384e-14       2.858205e-14       1.180483e+00       1.970207e+00
          75       3.329749e+00       8.753048e-05       1.304023e+00       2.513607e+00       1.199969e+00       2.004447e+00       3.755103e+00       1.867341e+00
          76       5.477045e+00       3.645661e-07       3.162173e+00       1.032660e-13       2.387406e-14       5.512431e-14       9.763632e-01       2.011176e+00
          77       3.490465e+00       1.295762e-04       1.487681e+00       3.833537e+00       1.425868e+00       3.161295e+00       3.728661e+00       1.785100e+00
          78       3.194021e+00       3.915138e-01       1.241875e+00       7.165686e+00       8.369032e-02       2.937166e+00       3.908181e+00       1.646541e+00
          79       1.523717e+01       2.101740e-07       8.797182e+00       1.042808e-13       4.387013e-14       6.183692e-14       2.447452e+00       1.885478e+00
          80       2.969787e-01       2.327877e-08       1.511697e-01       2.376089e+00       2.259609e-04       6.934943e-01       1.076974e+00       8.941132e-01
          81       4.563651e-01       2.203275e-08       2.400219e-01       2.336507e+00       2.485757e-04       8.580871e-01       1.057639e+00       9.268263e-01
          82       6.569211e+00       6.045769e-02       3.558202e+00       1.349223e+01       6.284576e-01       3.092766e+00       1.051558e+00       8.504676e-01
          83       6.386625e+00       5.804328e-02       3.434702e+00       1.373922e+01       6.701016e-01       3.214920e+00       1.050161e+00       8.141910e-01
          84       6.905257e+00       5.581630e-02       3.708191e+00       1.369585e+01       6.235022e-01       3.252415e+00       1.062748e+00       8.509252e-01
          85       2.092236e+01       1.844643e-01       1.109025e+01       4.857117e-01       1.449999e-01       2.935858e-01       1.416890e+01       2.251760e+00
          86       2.032464e+01       5.366445e-02       1.121166e+01       9.474787e-01       9.319174e-01       9.400217e-01       1.438401e+01       2.266458e+00
          87       9.565457e+00       9.732161e-03       4.176168e+00       4.361700e+00       1.131940e+00       3.535667e+00       8.800785e+00       1.476319e+00
          88       7.891250e+00       5.066794e-04       3.067113e+00       4.673010e+00       7.040631e-01       3.867507e+00       8.331925e+00       1.574918e+00
          89       2.033645e+01       4.304680e-02       1.121429e+01       9.350096e-01       9.236866e-01       9.304064e-01       1.436677e+01       2.265938e+00
          90       2.092256e+01       1.827456e-01       1.109058e+01       4.806270e-01       1.452260e-01       3.002793e-01       1.416908e+01       2.251770e+00
          91       5.555966e+00       5.301588e-08       2.917258e+00       4.496480e+00       7.765174e-01       2.493570e+00       9.313938e+00       1.718945e+00
          92       4.478720e+00       1.690384e-05       2.292834e+00       4.925984e+00       9.654729e-01       2.478744e+00       9.513643e+00       1.618609e+00
          93       2.092300e+01       1.825184e-01       1.109057e+01       4.819275e-01       1.439530e-01       2.928430e-01       1.416903e+01       2.251789e+00
          94       2.032355e+01       4.870262e-02       1.121263e+01       9.391942e-01       9.354734e-01       9.370853e-01       1.437738e+01       2.266203e+00
          95       1.993056e+01       9.740881e-02       1.121046e+01       9.433508e-01       9.367952e-01       9.398478e-01       1.437760e+01       2.253127e+00
          96       6.004194e+00       2.182126e-05       2.629091e+00       1.554975e+00       1.628797e-02       7.890338e-01       1.016003e+01       1.839709e+00
          97       1.992806e+01       9.075564e-02       1.121028e+01       9.556819e-01       9.238133e-01       9.392674e-01       1.437898e+01       2.251290e+00
          98       2.015660e+01       2.074419e-02       1.137353e+01       6.261983e-01       1.592591e-01       3.923554e-01       1.432752e+01       2.155237e+00
          99       2.014697e+01       2.122926e-02       1.137417e+01       6.262454e-01       1.603693e-01       3.935501e-01       1.432734e+01       2.156282e+00
         100       2.093865e+01       2.766784e-01       1.107788e+01       2.475492e-02       7.377821e-03       1.267024e-02       1.416017e+01       2.248565e+00
         101       3.457896e+00       2.454239e-08       1.808574e+00       6.338461e-01       6.338461e-01       6.338461e-01       1.005654e+01       1.814575e+00
         102       1.989366e+01       9.176670e-01       1.109116e+01       4.840651e-01       4.163738e-03       2.431997e-01       1.416959e+01       2.251735e+00
         103       4.346139e+00       2.327971e-04       2.467446e+00       2.996029e+00       2.405920e+00       2.700143e+00       1.011743e+01       1.713042e+00
         104       2.046083e+01       4.725875e-01       1.107158e+01       4.173764e-02       9.181943e-03       2.363109e-02       1.415650e+01       2.248288e+00
         105       3.375958e+00       1.295365e-03       1.919116e+00       3.838020e+00       3.143136e+00       3.491429e+00       9.903842e+00       1.690399e+00
         106       2.048008e+01       4.780943e-01       1.108966e+01       8.179994e-03       4.867337e-03       6.216973e-03       1.416794e+01       2.248479e+00
         107       2.047861e+01       4.754540e-01       1.109227e+01       4.785408e-03       1.516544e-03       2.951345e-03       1.416881e+01       2.249994e+00
         108       1.993746e+01       1.068331e-01       1.120895e+01       9.557785e-01       9.196702e-01       9.424445e-01       1.438177e+01       2.248562e+00
         109       6.047865e+00       2.497937e-07       2.575741e+00       2.474681e+00       3.185810e-06       1.237357e+00       9.891857e+00       1.887223e+00
         110       1.992272e+01       1.015863e-01       1.121050e+01       9.511065e-01       9.367582e-01       9.430453e-01       1.437502e+01       2.252992e+00
         111       2.013823e+01       2.140613e-02       1.137383e+01       6.194496e-01       1.626141e-01       3.853796e-01       1.432066e+01       2.153183e+00
         112       2.123989e+01       7.383458e-02       1.114103e+01       3.700460e-01       1.208006e-01       2.155368e-01       1.424215e+01       2.216850e+00
         113       4.170238e+00       3.939349e-08       2.062883e+00       4.777397e-01       4.777397e-01       4.777397e-01       1.011334e+01       1.763920e+00
         114       1.992923e+01       1.025169e-01       1.121183e+01       9.401334e-01       9.339098e-01       9.383419e-01       1.437841e+01       2.252934e+00
         115       2.003019e+01       8.998892e-01       1.109162e+01       2.138667e-02       5.593780e-03       1.330168e-02       1.416902e+01       2.246149e+00
         116       2.093997e+01       2.693025e-01       1.109428e+01       4.249106e-03       1.071676e-03       2.673070e-03       1.417058e+01       2.249794e+00
         117       3.719658e+00       5.909594e-08       2.119530e+00       3.613838e+00       1.744977e+00       2.679408e+00       9.981134e+00       1.869501e+00
         118       3.802311e+00       2.874875e-03       2.217444e+00       2.341371e+00       8.225793e-01       1.569422e+00       1.025504e+01       1.812581e+00
         119       6.384279e+00       1.037812e-01       3.360279e+00       3.277375e+00       4.581144e-13       8.193437e-01       8.738291e+00       1.449520e+00
         120       1.989469e+01       9.133815e-01       1.109354e+01       4.860947e-01       3.077681e-03       2.433242e-01       1.417017e+01       2.251732e+00
         121       1.078516e+01       1.080700e-08       5.149700e+00       1.945577e+00       1.471019e+00       1.708299e+00       5.816976e+00       1.554986e+00
         122       2.022479e+01       3.462813e-01       1.138292e+01       7.819860e-01       1.253782e-01       4.659018e-01       1.431651e+01       2.075809e+00
         123       3.955452e+00       7.702508e-03       2.269896e+00       2.894867e+00       1.587291e-01       1.527724e+00       1.001655e+01       1.850459e+00
         124       5.993143e+00       4.413509e-02       3.406184e+00       2.262838e+00       1.912174e-03       7.524631e-01       8.872250e+00       1.432849e+00
         125       3.153337e+00       4.671500e-08       1.776092e+00       2.521876e+00       9.911354e-01       1.795153e+00       1.009729e+01       1.848730e+00
         126       1.989617e+01       9.098511e-01       1.108820e+01       4.791808e-01       4.620543e-03       2.431738e-01       1.416797e+01       2.251322e+00
