# degauss   lambda    int alpha2F  <log w>     N(Ef)
  0.005    2.288282    2.410634  1256.084    1.900675
  0.010    2.007059    2.056732  1203.073    2.130656
  0.015    1.998362    2.044916  1176.979    2.235086
  0.020    1.994441    2.022913  1173.184    2.290454
  0.025    1.995430    2.009794  1175.118    2.332190
  0.030    1.998339    2.003055  1177.341    2.360595
  0.035    2.002070    1.999385  1178.852    2.381114
  0.040    2.006898    1.998132  1179.743    2.398900
  0.045    2.012646    1.998934  1180.239    2.416850
  0.050    2.019212    2.001470  1180.504    2.436152
